model,agent,nu,shield,shield_name,risk,reward,shield_calls,blocked_actions,earliest_shielded_step,eval_time,memory_usage
dpm,greedy,0.2,standard,standard,0.0,0.0,1018926.0,237227.0,None,536.6719121932983,1258.57421875
corridor,greedy,0.2,standard,standard,0.0,-50.0,1024000.0,1003520.0,None,578.9845366477966,1747.79296875
drone,greedy,0.2,standard,standard,0.0,-50.0,1024000.0,812369.0,None,587.1988482475281,1782.05078125
drone-b,greedy,0.2,standard,standard,0.0,-50.0,1024000.0,860160.0,None,670.1485869884491,8050.765625
dpm,greedy,0.2,delta,delta,0.1631725231075276,9.707618081146421,1018998.0,0.0,None,527.8168523311615,1269.52734375
corridor,greedy,0.2,delta,delta,0.12488254617069286,94.15919556543938,806484.0,208164.0,None,567.8771448135376,1739.48828125
drone,greedy,0.2,delta,delta,0.24227311701541826,76.5066550513252,981777.0,0.0,None,572.1244812011719,1780.5234375
drone-b,greedy,0.2,delta,delta,0.13822468766800047,51.10805564218487,1002231.0,85945.0,None,654.9469091892242,8074.671875
corridor,greedy,0.2,online,online,0.1248780201605864,96.41945208154115,765978.0,47558.0,None,659.7950737476349,1569.71484375
dpm,greedy,0.2,online,online,0.0646213658313073,5.07075199017122,1019006.0,132422.0,None,980.2773087024689,3394.48046875
corridor,greedy,0.2,offline,greedy,0.12628083713033603,96.57126644978138,762677.0,36008.0,None,557.3192942142487,954.0078125
dpm,greedy,0.2,offline,greedy,0.09470433852543662,6.3551733290877515,1019072.0,69786.0,None,661.9536592960358,1426.28515625
drone,greedy,0.2,online,online,0.15681432206488463,20.20753552368646,1008076.0,464461.0,None,1971.2323195934296,8906.41015625
drone-b,greedy,0.2,online,online,0.18926305145943054,30.295316421037352,1007208.0,281802.0,None,1354.404133796692,11476.046875
drone,greedy,0.2,offline,greedy,0.19133373729210887,35.12232249981134,1002812.0,369622.0,None,869.7240104675293,1122.3046875
drone-b,greedy,0.2,offline,greedy,0.20146002931447762,40.17717174019375,1004728.0,204785.0,None,801.0286748409271,7424.34765625
