project_name;agent;shield;shield_memory;nu;counted_episodes;average_episode_length;shield_calls;eval_elapsed_time;reward;goal_probability;bad_outcome_prob;blocked_actions;added_nonoptimal_actions;initial_node_value;tree_size
dpm;greedy-iter-1000;standard;0;0.2;21418;44.20944999533103;1018926;536.6719121932983;0.0;0.22583808011952564;0.0;237227;0;;
test-corridor;greedy-iter-100;standard;0;0.2;18432;49.888888888888886;1024000;578.9845366477966;-50.0;0.0;0.0;1003520;0;;
slippy-drone;greedy-iter-4000;standard;0;0.2;18432;49.888888888888886;1024000;587.1988482475281;-50.0;0.0;0.0;812369;0;;
collect;greedy-iter-500;standard;0;0.2;18432;49.888888888888886;1024000;670.1485869884491;-50.0;0.0;0.0;860160;0;;
dpm;greedy-iter-1000;delta;0;0.2;23011;41.13284950675764;1018998;527.8168523311615;9.707618081146421;0.20737907957064014;0.1631725231075276;0;0;;
test-corridor;greedy-iter-100;delta;0;0.2;202173;3.635891043809015;806484;567.8771448135376;94.15919556543938;0.979428509247031;0.12488254617069286;208164;0;;
slippy-drone;greedy-iter-4000;delta;0;0.2;40043;22.658017631046626;981777;572.1244812011719;76.5066550513252;0.9980520939989511;0.24227311701541826;0;0;;
collect;greedy-iter-500;delta;0;0.2;23238;40.47534211205784;1002231;654.9469091892242;51.10805564218487;0.9183234357517859;0.13822468766800047;85945;0;;
test-corridor;greedy-iter-100;self-constructing-safe;0;0.2;235729;2.9438974415536485;765978;659.7950737476349;96.41945208154115;0.9954524050922882;0.1248780201605864;47558;45729;0.1249886;46702
dpm;greedy-iter-1000;self-constructing-safe;0;0.2;22487;42.07257526570908;1019006;980.2773087024689;5.07075199017122;0.21105527638190955;0.0646213658313073;132422;132308;0.0853937803485445;508597
test-corridor;greedy-iter-100;constructed-None;0;0.2;238577;2.8955641155685585;762677;557.3192942142487;96.57126644978138;0.9964833156590954;0.12628083713033603;36008;0;0.12498311000000001;1825
dpm;greedy-iter-1000;constructed-None;0;0.2;22558;41.918521145491624;1019072;661.9536592960358;6.3551733290877515;0.20750953098678962;0.09470433852543662;69786;0;0.09714982659970683;424748
slippy-drone;greedy-iter-4000;self-constructing-safe;0;0.2;27417;34.084655505708135;1008076;1971.2323195934296;20.20753552368646;0.5472881788671262;0.15681432206488463;464461;462949;0.1878953122712781;502429
collect;greedy-iter-500;self-constructing-safe;0;0.2;22867;41.28215332138016;1007208;1354.404133796692;30.295316421037352;0.7196396553986093;0.18926305145943054;281802;4647;0.1999999999984615;80675
slippy-drone;greedy-iter-4000;constructed-None;0;0.2;30158;30.850255321970952;1002812;869.7240104675293;35.12232249981134;0.6646660919159095;0.19133373729210887;369622;0;0.19394117661037052;115080
collect;greedy-iter-500;constructed-None;0;0.2;23322;40.39584941257182;1004728;801.0286748409271;40.17717174019375;0.809793328187977;0.20146002931447762;204785;0;0.19999999924488626;32279
