project_name;agent;shield;shield_memory;nu;counted_episodes;average_episode_length;shield_calls;eval_elapsed_time;reward;goal_probability;bad_outcome_prob;blocked_actions;added_nonoptimal_actions;initial_node_value;tree_size
collect;greedy-iter-500;self-constructing-unsafe;0;0.01;3072;49.666666666666664;204800;405.3459904193878;-50.0;0.0;0.0;172032;0;0.0;51
dpm;greedy-iter-1000;self-constructing-unsafe;0;0.01;21458;44.068692329201234;1019049;631.6781837940216;0.9464069306156;0.21926554198900178;0.008979460698335424;212473;37;0.01000000000079717;585286
test-corridor;greedy-iter-100;self-constructing-unsafe;0;0.05;6144;49.666666666666664;409600;690.6022508144379;-50.0;0.0;0.0;401408;0;0.0;51
slippy-drone;greedy-iter-4000;self-constructing-unsafe;0;0.01;9312;49.587736254295535;511891;1136.3587818145752;-48.64229018704588;0.010738831615120275;0.008916586500453062;400927;300;0.00999999999968266;72423
collect;greedy-iter-500;self-constructing-unsafe;0;0.05;3323;48.57538368943725;204418;386.858336687088;-40.09539510799825;0.08877520312970208;0.04603340267078387;150019;30;0.05;3383
dpm;greedy-iter-1000;self-constructing-unsafe;0;0.05;22194;42.65332972875552;1018993;543.1458194255829;3.7824186392170764;0.21384157880508245;0.05300239982273859;161187;4624;0.05000000000067323;511547
test-corridor;greedy-iter-100;self-constructing-unsafe;0;0.1;27579;11.736429892309365;381587;556.6561634540558;68.27818285420858;0.8023133543638276;0.09821484319733745;296610;242;0.1;523
test-corridor;greedy-iter-100;self-constructing-unsafe;0;0.2;83343;2.75231273172312;301812;38.965195655822754;97.04725010828187;1.0;0.1254877323884228;0;1018;0.12498311000000001;1825
collect;greedy-iter-500;self-constructing-unsafe;0;0.2;4158;40.37999037999038;201244;159.18085837364197;38.968252879257896;0.7991822991822992;0.21142020965375388;41488;133;0.19999999924488626;32279
dpm;greedy-iter-1000;self-constructing-unsafe;0;0.2;23073;40.955835825423655;1018896;518.681830406189;9.66558309263326;0.21041910458111213;0.16346847093339584;0;217786;0.09714982659970683;424748
collect;safe-iter-500;self-constructing-unsafe;0;0.01;3072;49.666666666666664;204800;192.25283098220825;-50.014973640441895;0.0;0.015733506944444444;0;1968;0.002564403080999671;134605
test-corridor;safe-iter-4000;self-constructing-unsafe;0;0.05;6144;49.666666666666664;409600;638.2662618160248;-50.0;0.0;0.0;401408;0;0.0;51
dpm;safe-iter-100;self-constructing-unsafe;0;0.01;21258;44.47991344435036;1019091;195.63063287734985;0.19023426495417456;0.21939975538620754;0.0011335264648999015;0;22305;9.808661365966717e-06;415773
dpm;safe-iter-100;self-constructing-unsafe;0;0.05;21340;44.319025304592316;1018986;198.13197708129883;0.18701968045439135;0.2225398313027179;0.0026347106159723063;0;21957;9.593665025553319e-06;414469
slippy-drone;greedy-iter-4000;self-constructing-unsafe;0;0.05;9772;47.97185837085551;511298;1067.4961128234863;-41.521899513372674;0.0666189111747851;0.05476907889342201;377189;735;0.0499999999999995;79740
collect;safe-iter-500;self-constructing-unsafe;0;0.05;3072;49.666666666666664;204800;184.76029253005981;-50.015299797058105;0.0;0.015435112847222222;0;2008;0.0024816521961237774;135002
test-corridor;safe-iter-4000;self-constructing-unsafe;0;0.1;20728;15.8556059436511;390484;376.90254497528076;54.91436687080798;0.7097163257429564;0.10074026280043023;225394;17;0.1;675
dpm;safe-iter-100;self-constructing-unsafe;0;0.2;21354;44.341107052542846;1019003;192.96530103683472;0.19780837165077853;0.222300271611876;0.002852922402713766;0;22289;9.491729481849988e-06;415178
slippy-drone;greedy-iter-4000;self-constructing-unsafe;0;0.2;20008;22.676029588164734;490902;119.45532894134521;76.4430239424616;0.9978508596561375;0.2483705890317292;0;34936;0.19394117661037052;115080
